domain,status,final_url
v30.nirwana88bet.website,BLOKIR,https://internet-positif.info
wd4d.co,BLOKIR,https://internet-positif.info
v18.sugih4dbet.quest,BLOKIR,
bwo303-januarycerah.space,BLOKIR,
userslotsite.com,BLOKIR,
us.linkdana55.cfd,BLOKIR,
wd8tx0rtud4wc2jazke6.bungaslot.dev,BLOKIR,
untung88absoluted.xyz,BLOKIR,
wdgemoy0922.site,BLOKIR,https://internet-positif.info
uni.escuelatolotzin.edu.mx,MATI,
untargcbos.com,AKTIF,https://untargcbos.com/
jpmania25.jpmania-masuk.com,AKTIF,https://jpmania25.jpmania-masuk.com/
botakkuat.com,BLOKIR,
bwo99-januaryprimez.art,AKTIF,https://bwo99-januaryprimez.art/
freexrp.in,AKTIF,https://freexrp.in/
us88a.online,BLOKIR,
jpslot88one.top,BLOKIR,
watitoto133a.org,BLOKIR,https://internet-positif.info
ug123sup.online,BLOKIR,
uya4dmoonlight.com,BLOKIR,
jazz188-cerah.xyz,BLOKIR,
uang888games.com,MATI,
ubek606.com,BLOKIR,https://internet-positif.info
uaobqbbp2i.prada55c.one,BLOKIR,
u8vd.oyamurayama.com,AKTIF,https://u8vd.oyamurayama.com/
wassookeagmoccasins.com,BLOKIR,https://internet-positif.info
0r4ncbr2g0poeh3yvwn7.bungaslot.dev,BLOKIR,https://internet-positif.info
wati88slot.com,BLOKIR,
0myz3rs1ih.top1toto199.com,BLOKIR,https://internet-positif.info
wasit.linkrupiah.bet,AKTIF,https://wasit.linkrupiah.bet/
u710upj65l.kopivip2.pro,BLOKIR,
waslot-2sd.pages.dev,BLOKIR,
twstalkercolmek.com,BLOKIR,
wantessentials.com,BLOKIR,
u1rs.domino4dfav.com,BLOKIR,
tujuh19.kediritotovip.pro,AKTIF,https://tujuh19.kediritotovip.pro/
tuna55goods.com,BLOKIR,
c1yjkhnmrn3gi2winlhd.jpsonicfix.site,BLOKIR,https://internet-positif.info
wangsafair.xyz,BLOKIR,
1001-slotku.xyz,BLOKIR,https://internet-positif.info
jrn7aaczvp.vwvip2.pro,AKTIF,https://jrn7aaczvp.vwvip2.pro/
warkop77.net,BLOKIR,
104.21.62.193,MATI,
wagtotogold.com,BLOKIR,
ttm787pilihanhati.xyz,BLOKIR,
ad5.ovoslot88k.info,BLOKIR,
trunklambo.com,BLOKIR,https://internet-positif.info
wahana99-a6.site,MATI,
trikgacor.rtplivehausgol.com,BLOKIR,
wagateway.alhikmah.ac.id,MATI,
104.16.114.45,MATI,https://104.16.114.45/
freeseite.com,AKTIF,https://okejppro.org/
totoslot121.xyz,BLOKIR,
ads16.rina4dtoto.fit,MATI,https://ads16.rina4dtoto.fit/
totosydney8000.com,BLOKIR,https://internet-positif.info
bbtn4dslot.com,BLOKIR,
judolhoki88.4man.live,AKTIF,https://judolhoki88.4man.live/
totorawitjp.best,BLOKIR,
trisulajoin.org,BLOKIR,
wajibggads.wiki,BLOKIR,https://internet-positif.info
totodvl.com,BLOKIR,
judolhoki88main.hair,BLOKIR,
toto12speed.online,BLOKIR,https://internet-positif.info
toto136.net,BLOKIR,
topraban37.online,BLOKIR,
wajibslot27.com,BLOKIR,
toto188-race.xyz,BLOKIR,
jwkzb48673.dewataking.site,BLOKIR,
fufu4dpejuangdunia.xyz,BLOKIR,
tongtotomantra.com,BLOKIR,https://internet-positif.info
jumpaleopard.site,BLOKIR,
wayangterbaik.xyz,BLOKIR,https://internet-positif.info
top5.naga99game.net,BLOKIR,https://internet-positif.info
welcome2gembetsg.com,BLOKIR,
1121slotkuda.info,BLOKIR,
wa88masuk.cyou,BLOKIR,
tokped200.pro,BLOKIR,https://internet-positif.info
juliet77.org,BLOKIR,
tomatbet-link.site,AKTIF,https://tomatbet-link.site/
toko123.casa,BLOKIR,
tokoofficialjp.shop,BLOKIR,https://internet-positif.info
jumtototerbaik.com,BLOKIR,
w8o5a4dt0z.hugo77juara.biz,BLOKIR,
u80incye393lh5qwp67e.pancing77.dev,BLOKIR,
jurusqq20.net,BLOKIR,
juraganrtp.art,BLOKIR,
1121slotbintang.org,BLOKIR,https://internet-positif.info
c8.winterfresh.ink,BLOKIR,
w2.winterfresh.ink,BLOKIR,
this14.yupigalaxy.one,MATI,
adem16.akongsuper.com,MATI,
cabangsemarbijak.store,AKTIF,https://cabangsemarbijak.store/
bigo88ku.cyou,BLOKIR,
tgslot23.pro,BLOKIR,
w11bet-a.click,BLOKIR,https://internet-positif.info
118.194.234.167,AKTIF,https://118.194.234.167/
w64t9wmgl7v9j4sdm2sy.bungaslot.dev,BLOKIR,
tiga.idrtoto222.com,AKTIF,https://tiga.idrtoto222.com/
vvipwisnu77.site,BLOKIR,
terpercayabos2.pastibayarbos.site,BLOKIR,https://internet-positif.info
tempo4d-win.club,BLOKIR,
telukbisa.com,BLOKIR,https://internet-positif.info
jaringankencang.xyz,AKTIF,https://jaringankencang.xyz/
jaringangestur.xyz,BLOKIR,https://internet-positif.info
tebar4do.online,AKTIF,https://tebar4do.online/
tehbotolpretty.online,BLOKIR,
frontporchonline.com,BLOKIR,
taxi4dc.lol,BLOKIR,
tcud2023.org,BLOKIR,
telaga771.xyz,BLOKIR,
temvariedades.com,BLOKIR,
tarungup.work,BLOKIR,
taruhbosque.site,BLOKIR,
tan001.sultan189b.online,AKTIF,https://sut001.sultan189c.live/
fun77surge.com,AKTIF,https://fun77surge.com/
talas789.net,BLOKIR,
vqdhnpnw93sywe4qou8i.sakutoto990.com,BLOKIR,https://internet-positif.info
taipan77fox.lol,BLOKIR,https://internet-positif.info
vqpibdf580.rudaltotoking.com,AKTIF,https://vqpibdf580.rudaltotoking.com/
ca010.lingkaran78.live,AKTIF,https://ca010.lingkaran78.live/
jzv5duozth.briotepat.com,BLOKIR,
fullcharged9090.xyz,BLOKIR,
tabungutama.net,BLOKIR,https://internet-positif.info
fun001.jarot88a.online,BLOKIR,
11modal777.net,BLOKIR,
ads11raja01.shop,BLOKIR,https://internet-positif.info
t0t0l0kaa88.space,MATI,
k2zk.jokoo4d.net,BLOKIR,
tabolabale88a.top,AKTIF,https://tabolabale88a.top/
vp5l9xarwd.koin33c.lol,AKTIF,https://vp5l9xarwd.koin33c.lol/
tag4dmain.pages.dev,AKTIF,https://tag4dmain.pages.dev/
vp9ayp4c1xmk3mv4kb0a.myjpcash.com,BLOKIR,
tentenslotgame.biz,BLOKIR,
szm80esrdi.sontogel002.com,BLOKIR,
k4.mokko.fun,BLOKIR,
cadas138login.com,AKTIF,https://cadas138login.com/
suritoto.com,BLOKIR,
sush.jp,MATI,
surga898ah.com,BLOKIR,
superwin303milk.com,AKTIF,https://superwin303milk.com/
voltagevaults.com,BLOKIR,
surga898ah.phoenixvulcanix.id,BLOKIR,
k8tdiyeybsxa1evr2w2f.aksesamatogel.com,BLOKIR,
k9k0.diponegoro4dbest.com,BLOKIR,
kadalganas.online,BLOKIR,
superbonus88bet.com,BLOKIR,
12rmdl2kbh.gt108vip3.com,BLOKIR,
sultan188site.com,BLOKIR,
suksesjitu-rtp.xyz,AKTIF,https://suksesjitu-rtp.xyz/
sultan178-v2.space,BLOKIR,https://internet-positif.info
w8rbmtvw2d.kaosjingga.com,BLOKIR,
sukabengbeng.com,BLOKIR,
wadahnice.com,BLOKIR,
cair389.com,BLOKIR,https://internet-positif.info
vivoslot123.com,BLOKIR,
sunanmax.monster,BLOKIR,
vivoslot1.com,BLOKIR,https://internet-positif.info
str.v1klikhoki.site,AKTIF,https://str.v1klikhoki.site/
store.posingpetal.com,MATI,https://store.posingpetal.com/
stake88-rtp-rook.vercel.app,MATI,
cair.kakektotomainkan.xyz,BLOKIR,
vitalslot77.com,BLOKIR,
camat123.org,BLOKIR,
visitlonggrove.com,BLOKIR,
14.vivo500.ink,BLOKIR,https://internet-positif.info
kaisarslot777.quest,MATI,
spoonersfroyo.com,BLOKIR,
spinoza88.cepatjp1.sbs,BLOKIR,https://internet-positif.info
japan88b.org,BLOKIR,https://internet-positif.info
adik4d.makeup,AKTIF,https://adik4d.makeup/
spin-paris.net,MATI,
vivo303winwin.com,BLOKIR,
spin805.fit,BLOKIR,https://internet-positif.info
viralselir188.boats,AKTIF,https://viralselir188.boats/
spam4donterus.space,AKTIF,https://spam4donterus.space/
sorotansimba.com,AKTIF,https://simba4d.com/
spartaplay-palm.xyz,BLOKIR,
spbuspatula.com,BLOKIR,
solana777.net,BLOKIR,https://internet-positif.info
145megasensa.com,BLOKIR,
14btmoyk8q.markas338dikawal.com,BLOKIR,https://internet-positif.info
bantenwin.xyz,BLOKIR,https://internet-positif.info
vippion168site.sbs,MATI,
15pelita.com,BLOKIR,
fun.apibetrtp.com,BLOKIR,
sob77webs.monster,MATI,
aejjz43849.slotid88-jackpot.com,BLOKIR,
caishen899.net,MATI,
sltdmlgp.blogspot.com,BLOKIR,https://internet-positif.info
158c.cancerthsspeermade.com,BLOKIR,https://internet-positif.info
slotpoker188po.org,AKTIF,https://slotpoker188po.org/
vip3.khusus4d-xyz.site,BLOKIR,https://internet-positif.info
156oppott.com,MATI,
vip5.klikzeus10.pro,BLOKIR,https://internet-positif.info
slotasiabetgg.site,AKTIF,https://slotasiabetgg.site/
visabet88play.com,AKTIF,https://visabet88play.com/
slot898s.org,BLOKIR,
kancilbolamama.online,BLOKIR,
kampiun88link.xyz,BLOKIR,
kamarresmiicaku.shop,BLOKIR,https://internet-positif.info
slot155baru.com,BLOKIR,
slot4.rtpput88gacor.com,BLOKIR,https://internet-positif.info
vip1.kerasakti8.shop,BLOKIR,
skyslot-ph.com,BLOKIR,
kamipokerfullwin.com,BLOKIR,
fungame777ningrat.com,BLOKIR,https://internet-positif.info
sky1.gadunslot-rtp.com,BLOKIR,
vip.modejp.xyz,BLOKIR,https://internet-positif.info
spliceproticcfiocruzbr.pages.dev,BLOKIR,https://internet-positif.info
vip.obatdiet.xyz,BLOKIR,
calocanda.com,BLOKIR,
vip17.alternatifokitoto.info,BLOKIR,
situs-ketua.haka55-x.com,BLOKIR,https://internet-positif.info
advancedcellpatients.com,BLOKIR,
sirkus4biru.com,BLOKIR,https://internet-positif.info
kanazawa.vonza.cc,BLOKIR,https://internet-positif.info
boskudawinner.xyz,BLOKIR,https://internet-positif.info
jangkar555b.net,BLOKIR,https://internet-positif.info
sjd.qaidi804vip1.bet,BLOKIR,
singsing.gembira.club,BLOKIR,
sinitaruhanliga.top,BLOKIR,
situsdolar99b.top,BLOKIR,https://internet-positif.info
sihokibetclub.online,BLOKIR,
vidioxx.com,BLOKIR,
shop.makeitsow.com,BLOKIR,https://internet-positif.info
shop.andreaguillory.com,MATI,https://shop.andreaguillory.com/
shiromaung.com,BLOKIR,
162.159.134.42,MATI,https://162.159.134.42/
vibet888.net,BLOKIR,
sigma-omega89.pages.dev,BLOKIR,https://internet-positif.info
fymhb13139.asialve88fix.icu,BLOKIR,https://internet-positif.info
setan4d3.net,AKTIF,https://setan4d3.net/
singototo1.com,BLOKIR,https://internet-positif.info
kangjituwon.com,BLOKIR,
server2.luckypremiumbola.hair,BLOKIR,
kapten69hero.com,BLOKIR,https://internet-positif.info
kapallauut.space,AKTIF,https://kapallauut.space/
sepanjangjalantol777.fun,BLOKIR,
sensirtpnew.site,BLOKIR,
vip22.sigacor88.ink,BLOKIR,https://internet-positif.info
cake-tok99toto.ink,BLOKIR,
futsalsm188.top,BLOKIR,https://internet-positif.info
cakra777alternatif.wiki,BLOKIR,https://internet-positif.info
fyp338link.online,BLOKIR,https://internet-positif.info
sehat.wargatotoresmi2.com,BLOKIR,
viamotutti.com,AKTIF,https://viamotutti.com/
cakra777alternatif.pics,BLOKIR,
karin88.com,BLOKIR,https://internet-positif.info
calon4djitu.org,BLOKIR,
165.22.98.246,MATI,
selaluonline-rajabet123.site,BLOKIR,https://internet-positif.info
banjircuan2.xyz,BLOKIR,
scat428jq6ndzbt4fkgo.bungaslot.dev,BLOKIR,
vivobet77.net,AKTIF,https://vivobet77.net/
sedapnikmat.org,BLOKIR,
sayamantap.pro,BLOKIR,
sayapbolaboss.site,AKTIF,https://sayapbolaboss.site/
165.232.161.92,MATI,
karirtotodewa.com,BLOKIR,
banjiruan.site,BLOKIR,
sawo4djp2.xyz,BLOKIR,
sawo4djp3.mom,BLOKIR,
g5avwx70td8esb3h.fufuslot.tech,BLOKIR,
sawihijausegar.store,BLOKIR,
vforvolleyball.com,AKTIF,https://linklist.bio/primbon178/
165.245.187.21,AKTIF,https://g2g98x.one/
vegaswin.net,AKTIF,https://vegaswin.net/
169cuango.site,AKTIF,https://169cuango.site/
velbett0.online,BLOKIR,https://internet-positif.info
172.67.138.170,MATI,
satuhari.linkrupiah.bet,BLOKIR,https://internet-positif.info
satudepo88.ink,BLOKIR,
satu.kientoto008.com,BLOKIR,https://internet-positif.info
vegas108club.com,BLOKIR,https://internet-positif.info
sanjisematkan.com,MATI,
saranaxingfu.com,AKTIF,https://saranaxingfu.com/
188bet.br.com,MATI,https://188bet.br.com/
sastotojim.site,AKTIF,https://sastotojim.site/
vcy08hg8pyl73gcujew8.bungaslot.dev,BLOKIR,
178.128.86.89,AKTIF,https://178.128.86.89/
vde9gvw34y.botuna55c.click,BLOKIR,https://internet-positif.info
sanca999-mantepselalu.xyz,BLOKIR,https://internet-positif.info
kastil777apel.com,BLOKIR,https://internet-positif.info
jambisupra.site,AKTIF,https://jambisupra.site/
sakuratotoart.xyz,BLOKIR,https://internet-positif.info
saka69-vip.fit,BLOKIR,
sadewa77caps.com,BLOKIR,https://internet-positif.info
valir4dfly.site,BLOKIR,
s6.paladintoto.link,BLOKIR,
validtoto.in.net,BLOKIR,
sabartoto.co,BLOKIR,
vansdanabet.shop,BLOKIR,
17des.rusia777.sbs,BLOKIR,https://internet-positif.info
vad94.luxhoki.life,MATI,
s5i3dpi9g0.pttogel777.vip,BLOKIR,https://internet-positif.info
vaksin99can1.xyz,MATI,
188.166.230.142,MATI,
fzf9i.riderdownload.com,BLOKIR,https://internet-positif.info
rx69nkhp3a.briotepat.com,BLOKIR,
18belegendwin.com,BLOKIR,https://internet-positif.info
s4rk.jabarsukses.cloud,MATI,https://s4rk.jabarsukses.cloud/
kaskus800.online,BLOKIR,https://internet-positif.info
satu19.bugissite.one,BLOKIR,
1mumunbet.com,BLOKIR,
kasuswin.com,BLOKIR,
1ggoeft1vs.rudaltotoking.com,BLOKIR,https://internet-positif.info
bangsawan36.online,BLOKIR,
bandit96.net,BLOKIR,
kataseleb.wiki,BLOKIR,
dewaslot4dq.org,BLOKIR,https://internet-positif.info
kaw89-rtp.net,BLOKIR,https://internet-positif.info
tktotovv.com,BLOKIR,https://internet-positif.info
rumput4d.net,AKTIF,https://rumput4d.net/
v3italia.space,BLOKIR,
rubikslotaa.com,BLOKIR,
aenis37566.g88connect.com,BLOKIR,https://internet-positif.info
rtpzeus138langit.com,AKTIF,https://rtpzeus138langit.com/
rtpwg4d.live,BLOKIR,https://internet-positif.info
1c02gvpyaq.sultan33i.lat,BLOKIR,
rtpxtra838mantap.com,BLOKIR,
uyu138.com,BLOKIR,https://internet-positif.info
daftar1.hyper88kagebunsin.com,BLOKIR,
uwu4dg.com,BLOKIR,
rtpslot88resmijp8.online,BLOKIR,
uwgfz5qhij.bmwvip3.pro,BLOKIR,
rtpsimbawinvip.space,BLOKIR,
kawatmenuai.com,BLOKIR,
uutoto1.com,BLOKIR,
rtps88ag.pages.dev,BLOKIR,
uu777slot.org,BLOKIR,
rtpsabangjitu18.site,BLOKIR,https://internet-positif.info
rtpslotgeng215.com,AKTIF,https://rtpslotgeng215.com/
rtpslotudin251.com,BLOKIR,https://internet-positif.info
jalurpaten.com,BLOKIR,
1k1jvhx8uz.gt108vip3.com,BLOKIR,
rtpvegas138w.pages.dev,BLOKIR,https://internet-positif.info
uv.mohs.gov.mn,AKTIF,https://uv.mohs.gov.mn/
claregolfclub.com,BLOKIR,
jakjp11.beauty,BLOKIR,
rtpnewsitevega168.online,AKTIF,https://rtpnewsitevega168.online/
rtpnew-indowin88.live,MATI,
rtposaka88n.site,AKTIF,https://rtposaka88n.site/
kedai168mice.com,BLOKIR,
rupiahgg7777.com,BLOKIR,https://internet-positif.info
rtpmeriah18.online,BLOKIR,
kedai168motif.com,BLOKIR,https://internet-positif.info
rtpmini1221.monster,BLOKIR,
rtpmangkokcun.mom,AKTIF,https://rtpmangkokcun.mom/
aerobintaro.site,BLOKIR,
1hal777login.com,BLOKIR,https://internet-positif.info
utkarsh-bharat.com,BLOKIR,
1kgyfjhwpd793hei2lq5.myjpcash.com,AKTIF,https://1kgyfjhwpd793hei2lq5.myjpcash.com/
uyu168bets.com,BLOKIR,
rtpjuragantogel88f.store,BLOKIR,
