url,risk,score,visual,keywords
pola.rtppariban4d.com,high,100.0,"mahjong:0.65,mahjong:0.60,zeus:0.53,zeus:0.41,zeus:0.38,mahjong_card:0.34,zeus:0.32,zeus:0.26,zeus:0.25","pragmatic,rtp,olympus,gacor,zeus,withdraw,slot,live,pola"
ufa.uz,low,9.95,,"casino,bet"
agung711uang.com,high,86.57,"koin:0.63,koin:0.46,koin:0.42,vulgar:0.40","togel,rtp,withdraw,deposit,live"
petirsuper700.xyz,high,100.0,"mahjong:0.53,mahjong:0.43,zeus:0.38,vulgar:0.35","togel,rtp,olympus,gacor,mahjong ways,maxwin,scatter,withdraw,casino,deposit,slot,bet,live"
trisulatoto.com,high,100.0,"koin:0.65,pragmatic:0.64,mahjong:0.59,koin:0.40,koin:0.35,koin:0.27","pragmatic,togel,rtp,olympus,gacor,mahjong ways,scatter,withdraw,casino,deposit,slot,bet,live"
pejuangslotgol.com,high,69.59,mahjong:0.54,"pragmatic,pg soft,mahjong ways,maxwin,zeus,withdraw,casino,deposit,slot,bet,live"
kopokopo.co.ke,low,0.0,,
payung57.cam,high,59.53,vulgar:0.52,"togel,rtp,scatter,withdraw,casino,deposit,slot,bet,live"
cermin303sed.com,blocked,0,,
2home.prediksimu.live,blocked,0,,
pandaviral.guru,blocked,0,,
p200m2025.cfd,blocked,0,,
orionlightingcamera.com,medium,29.31,koin:0.25,"togel,rtp,mahjong ways,deposit,slot,bet,pola"
tousi-life.jp,low,2.65,,live
opaslotgg.ink,high,100.0,"mahjong:0.80,zeus:0.47,zeus:0.44,zeus:0.32,zeus:0.25","pragmatic,togel,rtp,olympus,pg soft,mahjong ways,scatter,withdraw,casino,deposit,slot,live"
chester.bet,low,5.54,,"bet,live"
olx53.aksesyok.com,blocked,0,,
olxwin88.beauty,blocked,0,,
totolokaa88maju.store,low,0.0,,
oja88.net,error,0,,
oasissphere.com,medium,47.51,pragmatic:0.45,"casino,slot,bet"
o2flcx.malukulancar.com,blocked,0,,
kudahoki-u297.kudahoki.online,blocked,0,,
bagustoto1.cam,error,0,,
nomorslot.xyz,medium,50.0,,"pragmatic,togel,rtp,olympus,pg soft,mahjong ways,zeus,sicbo,baccarat,casino,deposit,slot,bet,live,pola,judi"
cina365hoki.org,blocked,0,,
ninja388rush.pro,blocked,0,,
new1.anekatotogacorbgt.com,medium,27.43,,gacor
cilok.jamu-aja.org,blocked,0,,
cihuy88real-06.top,blocked,0,,
topslot88solid.xyz,high,100.0,"pragmatic:0.76,mahjong:0.73,casino:0.68,pg:0.57,zeus:0.51,zeus:0.35,zeus:0.34,zeus:0.34,mahjong:0.32","pragmatic,togel,rtp,olympus,gacor,pg soft,maxwin,zeus,scatter,withdraw,casino,deposit,slot,live,judi"
toto268uu.linkamp88.online,high,100.0,"pragmatic:0.72,pragmatic:0.67,zeus:0.46,pragmatic:0.34,pragmatic:0.32","pragmatic,rtp,gacor,pg soft,deposit,live"
mujur505first.com,blocked,0,,
ms1.tiket777a1.pro,low,0.0,,
galaxypap.top,high,100.0,"pg:0.68,koin:0.38,pg:0.28,vulgar:0.26","pragmatic,togel,rtp,olympus,gacor,pg soft,mahjong ways,scatter,baccarat,withdraw,casino,deposit,slot,live,judi"
j200m-cair.ink,blocked,0,,
mrqt0.blogspot.com,low,10.7,,"deposit,slot"
top1rankpasticuan-cb88.pages.dev,low,0.0,,
claridecor.com,low,0.0,,
montepiedra.kitsunestudio.mx,low,2.65,,live
gamabet88coal.com,blocked,0,,
migo88situs.site,low,0.0,,
mghoki88good.online,blocked,0,,
missboldghana.com,medium,50.0,,"rtp,gacor,maxwin,deposit,slot"
metro4dcat.com,high,100.0,"pg:0.73,koin:0.37,pg:0.35","togel,casino,slot,live"
365rajaholic.biz,low,0.0,,
coki88white.com,blocked,0,,
tohir78-a32.com,high,69.09,"koin:0.43,koin:0.32,vulgar:0.26","pragmatic,rtp,gacor,pg soft,baccarat,withdraw,casino,deposit,slot,bet,live,dealer"
j5.winterfresh.ink,blocked,0,,
mc001.satria78a.store,high,100.0,"mahjong:0.77,koin:0.75,mahjong_card:0.69,mahjong_card:0.61,zeus:0.54,koin:0.52,pg:0.52,zeus:0.51,mahjong:0.44,koin:0.36,pg:0.35,koin:0.33,mahjong:0.29","pragmatic,togel,rtp,olympus,pg soft,mahjong ways,sicbo,baccarat,withdraw,casino,deposit,slot,bet,live,judi"
tobabet4d53.com,blocked,0,,
companylibra168.com,blocked,0,,
tobrut888jp.store,high,100.0,"pragmatic:0.67,mahjong:0.67,mahjong:0.65,mahjong:0.64,mahjong:0.63,zeus:0.56,zeus:0.56,zeus:0.56,zeus:0.55,mahjong:0.54,koin:0.52,mahjong:0.52,zeus:0.51,zeus:0.51,zeus:0.47,mahjong:0.46,mahjong:0.45,mahjong:0.32,vulgar:0.29,vulgar:0.28,zeus:0.28","pragmatic,togel,rtp,gacor,maxwin,casino,deposit,slot,bet,live,pola,judi"
mariablog665.com,medium,49.88,,"togel,deposit,slot,live"
mandalika77.nl,error,0,,
timewarptrio.com,blocked,0,,
tip4dan.site,blocked,0,,
cuanpolos.icu,blocked,0,,
lautsasartoto.com,high,85.87,"pool:0.61,pool:0.52,pool:0.52","pragmatic,togel,rtp,gacor,pg soft,sicbo,casino,slot,bet,live"
luna83676.com,medium,50.0,,"pragmatic,togel,rtp,sicbo,withdraw,casino,deposit,slot,bet,live"
mandala77-rocky.com,blocked,0,,
thrivusinstitute.edu.gh,low,0.0,,
login1.ubud4dluck.com,blocked,0,,
live999.play-merona4d.com,blocked,0,,
ixelyzwqon.mbaktotoakses1.click,low,0.0,,
3sqiiitfx9.vwvip2.pro,blocked,0,,
the-three-six-five.com,high,100.0,"zeus:0.51,zeus:0.41,koin:0.36,koin:0.28","pragmatic,togel,rtp,olympus,gacor,pg soft,maxwin,zeus,scatter,withdraw,casino,deposit,slot,bet,live,pola,rungkad"
link8.pastikayabet99.top,blocked,0,,
lepiepi.com,low,2.88,,bet
ctls.pososulawesi.site,medium,50.0,,"togel,rtp,deposit,bet,live"
lihat14.meriahkali.one,high,58.43,vulgar:0.46,"togel,rtp,sicbo,baccarat,withdraw,deposit,slot,bet,live"
link3.androresmi.work,blocked,0,,
