url,prediksi_sistem,skor_final,y_pred(biner),y_true(biner),sel
gamabet88mc.com,HIGH,100.0,1,1,TP
kudetabet98lecijackpot.com,HIGH,100.0,1,1,TP
3gyzvbauxg.caritvtogel.vip,HIGH,100.0,1,1,TP
peso138info.com,HIGH,100.0,1,1,TP
akun77toss.homes,HIGH,97.5,1,1,TP
holongan.jmslt.com,HIGH,84.12,1,1,TP
rtpcun-gb88.bond,HIGH,100.0,1,1,TP
fp15nb3twoi0lmxo13h6.bungaslot.dev,HIGH,87.5,1,1,TP
spotbeth.app,LOW,22.5,0,1,FN
cong22.com,HIGH,91.94,1,1,TP
neon4dvip.com,MEDIUM,37.5,1,1,TP
vir9awenax.jmtoto.vip,HIGH,100.0,1,1,TP
bocilslt.com,HIGH,100.0,1,1,TP
agenmasion.xyz,MEDIUM,40.57,1,1,TP
p5jaco65e8.nusantaravip2.pro,HIGH,82.5,1,1,TP
aktortogel-baht.com,HIGH,83.44,1,1,TP
al28oz1c47.jumbo189.com,MEDIUM,45.0,1,1,TP
gm3.gmtt88-1.live,HIGH,57.07,1,1,TP
18hokiuntung.pages.dev,HIGH,59.37,1,1,TP
abangzeus007.live,HIGH,100.0,1,1,TP
idncash-domba.com,HIGH,80.71,1,1,TP
vip3.togel900-x.com,HIGH,95.79,1,1,TP
kisahpihak.com,MEDIUM,50.0,1,1,TP
y1rsd48ixhs3uv4itg3q.gayatoto268.site,HIGH,100.0,1,1,TP
webkecil.iridengki.com,HIGH,61.9,1,1,TP
qaidi804vip2.bet,HIGH,52.43,1,1,TP
lnl4e158qo.top1toto199.com,LOW,12.5,0,1,FN
qdal88wol.mom,HIGH,100.0,1,1,TP
w9.winterfresh.ink,HIGH,100.0,1,1,TP
pg25.14kelinci777.xyz,HIGH,100.0,1,1,TP
spznwbcqlx.ttcebu.icu,HIGH,88.61,1,1,TP
h2totocepat.com,HIGH,100.0,1,1,TP
ular-jawa.space,HIGH,100.0,1,1,TP
slotbom77lga.top,HIGH,100.0,1,1,TP
rtpslotyok215.com,HIGH,100.0,1,1,TP
mufasatotobenua.com,HIGH,100.0,1,1,TP
bn88live.top,HIGH,100.0,1,1,TP
1hal777login.com,HIGH,100.0,1,1,TP
megatoto5dpaten.com,HIGH,100.0,1,1,TP
nwxl0wl50s.vwvip2.pro,HIGH,100.0,1,1,TP
bebasjitu08.com,LOW,0.0,0,1,FN
besarwinakutansi.com,HIGH,100.0,1,1,TP
supraslot88rtp.com,HIGH,100.0,1,1,TP
raden4dfkt.com,HIGH,97.5,1,1,TP
linkrtp13-panglimajp.pages.dev,HIGH,100.0,1,1,TP
xiutoto042.com,MEDIUM,47.46,1,1,TP
kekar4dalter.com,HIGH,87.5,1,1,TP
satuanugerah.semarhokisaya.com,HIGH,100.0,1,1,TP
marettoto84.com,HIGH,100.0,1,1,TP
akadlancar.online,HIGH,87.5,1,1,TP
178.128.82.117,HIGH,100.0,1,1,TP
wika123-ya.site,HIGH,96.11,1,1,TP
ninjawild.com,LOW,5.0,0,1,FN
livegamehok1.site,HIGH,100.0,1,1,TP
rtpipo138l.com,HIGH,100.0,1,1,TP
52xyjrfqck.gt108vip3.com,HIGH,100.0,1,1,TP
rtpabadicash51.pages.dev,HIGH,100.0,1,1,TP
area13.zendo100top.com,HIGH,100.0,1,1,TP
bejo88lotar.xyz,HIGH,100.0,1,1,TP
linkktudunia.store,HIGH,100.0,1,1,TP
l6g9ugckgglej88k29qx.bungaslot.dev,HIGH,87.5,1,1,TP
inijawara.xyz,HIGH,100.0,1,1,TP
ultislot88cuan.shop,LOW,12.5,0,1,FN
www.mabecan.es,MEDIUM,32.5,1,1,TP
www.hermestotoalternativ.com,MEDIUM,50.0,1,1,TP
cimol88ss.live,HIGH,100.0,1,1,TP
mawartotodewa.com,HIGH,51.87,1,1,TP
maktoto1.ramalanku.live,LOW,7.5,0,1,FN
bosgambir169.com,LOW,23.61,0,1,FN
ms002.demon189.live,HIGH,100.0,1,1,TP
hotspin69discover.com,HIGH,100.0,1,1,TP
pagoda88-tower.com,HIGH,100.0,1,1,TP
top805vip.vip,HIGH,100.0,1,1,TP
g49uad98ss.markas338dikawal.com,HIGH,56.72,1,1,TP
slot.rtp-rajapanen.click,HIGH,100.0,1,1,TP
rajawisnu.info,HIGH,100.0,1,1,TP
tidakadalawan.org,HIGH,100.0,1,1,TP
amp-epsi99slot.pages.dev,MEDIUM,50.0,1,1,TP
xlo5g01ye8eodng3ajvp.ratuselot.site,HIGH,100.0,1,1,TP
rutanpedia.com,HIGH,100.0,1,1,TP
live-rtpf200m.autos,HIGH,100.0,1,1,TP
iq3ly0gpxx.slotbesarvip2.pro,HIGH,100.0,1,1,TP
hebohwin99.uk,HIGH,63.5,1,1,TP
5gtotojaya.site,HIGH,79.36,1,1,TP
hnd138jos.store,HIGH,100.0,1,1,TP
winbet299glory.online,HIGH,100.0,1,1,TP
roulette-overzicht.com,LOW,20.13,0,1,FN
luna34617.com,HIGH,83.63,1,1,TP
pro33738.com,HIGH,83.77,1,1,TP
www.apistage.mocatest.org,MEDIUM,50.0,1,1,TP
sbctotomiya.com,HIGH,87.5,1,1,TP
bbtotoalter.xyz,HIGH,100.0,1,1,TP
bolacuan1.net,HIGH,80.14,1,1,TP
bolang100.com,HIGH,100.0,1,1,TP
xb7mct.oyamurayama.com,LOW,20.76,0,1,FN
k6og.jokoo4d.net,HIGH,97.5,1,1,TP
redandwhite.space,HIGH,100.0,1,1,TP
b8.morfintotopride.online,LOW,0.0,0,1,FN
rtpbuncistoto-2.site,HIGH,100.0,1,1,TP
telukbisa.com,MEDIUM,37.5,1,1,TP
myg4djepe.xyz,HIGH,100.0,1,1,TP
harwy40537.gonaga.us,HIGH,100.0,1,1,TP
maco4d8.online,HIGH,100.0,1,1,TP
t21jepe.online,HIGH,100.0,1,1,TP
martv4d.xyz,HIGH,100.0,1,1,TP
bendera62via.cyou,HIGH,100.0,1,1,TP
zeusl9zusv.jatengtoto.one,HIGH,100.0,1,1,TP
d4naliga.click,HIGH,100.0,1,1,TP
monobakery.site,LOW,0.0,0,1,FN
29empireterbaru.com,HIGH,100.0,1,1,TP
calocanda.com,MEDIUM,37.5,1,1,TP
hqvxq14140.maniaslt.com,MEDIUM,50.0,1,1,TP
159.223.42.12,HIGH,100.0,1,1,TP
3maribbwin777.info,HIGH,100.0,1,1,TP
za008.yakuza77a.online,HIGH,100.0,1,1,TP
maskermerah.com,MEDIUM,50.0,1,1,TP
slot.obraltoto.vip,HIGH,71.53,1,1,TP
linkpasangjitu-official.com,HIGH,57.5,1,1,TP
rtp-rajacukongzzz.pucukdingin.org,HIGH,100.0,1,1,TP
piwpiwbum.pages.dev,HIGH,100.0,1,1,TP
yudha.togelup662.life,HIGH,75.0,1,1,TP
hdtoto1alter.xyz,HIGH,60.73,1,1,TP
firstplay88qiuqiu.com,HIGH,100.0,1,1,TP
xkm6gn4gj5.kaskuskita.com,MEDIUM,48.29,1,1,TP
bilan17.logamazli.one,HIGH,55.42,1,1,TP
rtpmw138.vip,HIGH,100.0,1,1,TP
indosbobet88win.shop,HIGH,82.5,1,1,TP
menyalabangku.org,HIGH,82.33,1,1,TP
tabungutama.net,MEDIUM,50.0,1,1,TP
login.kantongkosong.com,HIGH,90.0,1,1,TP
gajahstore09.com,HIGH,100.0,1,1,TP
m188link2.xyz,LOW,12.5,0,1,FN
skuvjqhrfw.ligazoom.work,HIGH,100.0,1,1,TP
dewata4d-32.xyz,HIGH,100.0,1,1,TP
gacoan88asli.xyz,HIGH,100.0,1,1,TP
rtpslotyowes215.com,HIGH,100.0,1,1,TP
u4rnu0w5yay2837t07j8.bungaslot.dev,HIGH,87.5,1,1,TP
suhu-esse.lat,HIGH,100.0,1,1,TP
regisidagentshop138.club,HIGH,100.0,1,1,TP
counterwin88none.com,HIGH,100.0,1,1,TP
www.tampanbintang4dp.com,MEDIUM,50.0,1,1,TP
bosvip777.world,MEDIUM,50.0,1,1,TP
gilabanget.pro,LOW,0.0,0,1,FN
acggcrfb.org,HIGH,100.0,1,1,TP
masuk1.site-jaya66.online,HIGH,100.0,1,1,TP
winwincuan.com,HIGH,100.0,1,1,TP
rekomendasi2026.com,HIGH,68.94,1,1,TP
tahta1.tahta2026.net,HIGH,100.0,1,1,TP
fantasitoto2.xyz,MEDIUM,30.68,1,1,TP
cawan78app.site,LOW,2.5,0,1,FN
rtpcuan-kingzeus.cyou,HIGH,100.0,1,1,TP
i-ai.apkjspaten.com,HIGH,100.0,1,1,TP
pik88-paco.pages.dev,MEDIUM,45.0,1,1,TP
livesosmedtoto.club,HIGH,100.0,1,1,TP
k1jy065bqz.rudaltotoking.com,HIGH,100.0,1,1,TP
speed1.rtpserver-ceriabet.live,HIGH,100.0,1,1,TP
pentolbetcan.com,HIGH,100.0,1,1,TP
rtpnet33sick.pages.dev,HIGH,100.0,1,1,TP
klub4dpion.com,HIGH,71.55,1,1,TP
ultra0802.jalurmudah.xyz,HIGH,100.0,1,1,TP
baduimen.info,LOW,17.98,0,1,FN
bomjp149.motorcycles,HIGH,85.0,1,1,TP
sengprediksi7.site,HIGH,56.16,1,1,TP
lwjxy40839.dewacashdana.one,HIGH,71.82,1,1,TP
www.bier-one.com,LOW,4.49,0,1,FN
wakanda33cheap.net,HIGH,100.0,1,1,TP
ip.bt-pro.click,HIGH,100.0,1,1,TP
zhoe.ngawimasukkedua.com,HIGH,67.5,1,1,TP
login2.vip138ab.com,HIGH,100.0,1,1,TP
cashgame88bet.com,HIGH,100.0,1,1,TP
1329ll.bet,LOW,9.0,0,1,FN
13.royal707.me,HIGH,100.0,1,1,TP
apk.wadukforever.rest,HIGH,100.0,1,1,TP
inifun88mall.com,HIGH,100.0,1,1,TP
zy9hq7j9py.nusantaravip2.pro,HIGH,82.5,1,1,TP
6pexynu8ow5rx7dheivu.linkbd88.store,HIGH,100.0,1,1,TP
ggplay-gram.xyz,MEDIUM,50.0,1,1,TP
waslotone.top,HIGH,100.0,1,1,TP
da003.garasi189.site,HIGH,100.0,1,1,TP
sl1ivfk1icj6j8xit2nl.myjpcash.com,MEDIUM,50.0,1,1,TP
apk2raja01.shop,HIGH,100.0,1,1,TP
masuk-top138.site,HIGH,100.0,1,1,TP
60m44mdmnn.vwvip2.pro,HIGH,100.0,1,1,TP
visi4dsan.click,HIGH,97.5,1,1,TP
j7ry4dngj6.top1toto199.com,LOW,12.5,0,1,FN
dana999batik.com,HIGH,100.0,1,1,TP
plazaraya.site,HIGH,100.0,1,1,TP
ongpg01.com,HIGH,81.73,1,1,TP
group788-1a.store,HIGH,100.0,1,1,TP
3uxzv1jndn.gt108vip3.com,HIGH,100.0,1,1,TP
kodomo99baru.com,HIGH,82.5,1,1,TP
beritahujan.com,HIGH,100.0,1,1,TP
slotyokaislotdra.xyz,HIGH,76.71,1,1,TP
destotopaling.com,LOW,17.04,0,1,FN
inibet.in.net,HIGH,100.0,1,1,TP
beton88-amarflourmills.pages.dev,HIGH,78.69,1,1,TP
07jugyfvrlfal1pfphv2.sakutoto990.com,HIGH,100.0,1,1,TP
unikgunung.com,HIGH,100.0,1,1,TP
01kitaslot777.makeup,HIGH,100.0,1,1,TP
yumetoto99.com,HIGH,100.0,1,1,TP
šltñ77.com,LOW,0.0,0,1,FN
amoisuper.com,HIGH,87.5,1,1,TP
oyen14.web.id,LOW,22.5,0,1,FN
61vl.oyamurayama.com,LOW,19.64,0,1,FN
shop.terrafreshhome.com,LOW,0.0,0,1,FN
hrvslotmenang.com,MEDIUM,47.27,1,1,TP
bola222machinewin.com,HIGH,100.0,1,1,TP
megajp17.rtp2025jp.com,HIGH,100.0,1,1,TP
mem.pinarena.online,HIGH,85.7,1,1,TP
ingatbebek31.xyz,HIGH,70.68,1,1,TP
nero4dwin.com,MEDIUM,50.0,1,1,TP
kasir4dhot.com,HIGH,100.0,1,1,TP
animemantap08.com,HIGH,100.0,1,1,TP
koiceko.com,MEDIUM,50.0,1,1,TP
pastipaten-oceanslot88.xyz,HIGH,100.0,1,1,TP
www.raja138bom.com,HIGH,100.0,1,1,TP
aa8dpk58415.captogel.cyou,HIGH,52.04,1,1,TP
link1.mio69-best.store,HIGH,100.0,1,1,TP
kja2jv5n2fzh4sfpz23g.bungaslot.dev,HIGH,87.5,1,1,TP
spekta777ok.net,HIGH,100.0,1,1,TP
betblocker.org,LOW,5.0,0,1,FN
mutubet88loyal.com,HIGH,100.0,1,1,TP
kopral404.com,HIGH,76.76,1,1,TP
tko77steed.com,HIGH,100.0,1,1,TP
sgptotocity1.com,HIGH,86.68,1,1,TP
molektoto2026.com,HIGH,100.0,1,1,TP
resortgrow.site,HIGH,100.0,1,1,TP
indoslot303z.club,HIGH,100.0,1,1,TP
x92vip2.bet,MEDIUM,35.01,1,1,TP
phxcgn7tjo.kaskuskita.com,MEDIUM,44.8,1,1,TP
bzhcq45183.klikfifabet.in,MEDIUM,50.0,1,1,TP
mio69-ofc.xyz,HIGH,100.0,1,1,TP
takurnewyear.site,HIGH,94.12,1,1,TP
henslotwd.xyz,HIGH,100.0,1,1,TP
bandar89home.xyz,LOW,0.0,0,1,FN
i3kit4lgg5aoqdroz0ez.bungaslot.dev,HIGH,87.5,1,1,TP
lryt063d61.nusantaravip2.pro,HIGH,82.5,1,1,TP
wakcepek.site,HIGH,100.0,1,1,TP
geloragamingcun.com,HIGH,100.0,1,1,TP
dogelexusmvp.quest,HIGH,100.0,1,1,TP
lilinterns.com,LOW,25.0,0,1,FN
ripsipglowin88.com,HIGH,100.0,1,1,TP
gipb74zm0bgmjt2o6ph7.vdkgatheringpoint.social,HIGH,79.21,1,1,TP
juruspass.com,HIGH,100.0,1,1,TP
pamanganteng.xyz,HIGH,100.0,1,1,TP
tvsouth.com,HIGH,100.0,1,1,TP
4.bonushptoto.info,MEDIUM,50.0,1,1,TP
martabak188a.asia,HIGH,100.0,1,1,TP
americanpicks.com,LOW,0.0,0,1,FN
koreo138pedas.com,HIGH,100.0,1,1,TP
aksesmulia77.rest,HIGH,100.0,1,1,TP
petir138-amp168.sbs,MEDIUM,40.0,1,1,TP
www.sloto89dada.com,HIGH,100.0,1,1,TP
zenithfordv4.store,MEDIUM,50.0,1,1,TP
link9.ldbplayalt35.com,HIGH,87.5,1,1,TP
buiyq48880.gobogil.one,HIGH,100.0,1,1,TP
vip25.sigacor88.ink,HIGH,100.0,1,1,TP
aslamfabrics.com.pk,LOW,0.0,0,1,FN
sultanplay.fit,HIGH,100.0,1,1,TP
1329w.bet,MEDIUM,39.95,1,1,TP
ms31.wede777vip.com,HIGH,100.0,1,1,TP
kipas899ok.life,HIGH,100.0,1,1,TP
havana88-2.com,HIGH,100.0,1,1,TP
supertotorezeki.top,HIGH,100.0,1,1,TP
cagurbetkyu.help,HIGH,100.0,1,1,TP
tiga11.hitocuan.com,LOW,2.29,0,1,FN
akiratoto5.online,LOW,0.0,0,1,FN
tarunggas.work,HIGH,89.12,1,1,TP
www.sm333.net,HIGH,100.0,1,1,TP
sex2hjg7uz.jaya4dxin.xyz,HIGH,90.0,1,1,TP
polonia123-vip.site,HIGH,100.0,1,1,TP
tmbetreward88.com,HIGH,100.0,1,1,TP
www.nos138af.online,LOW,12.36,0,1,FN
bundaaslot.store,HIGH,100.0,1,1,TP
takis98slt.store,HIGH,100.0,1,1,TP
jon4dnikmat.com,HIGH,100.0,1,1,TP
nu3pu3j7qftqvxpq9fu0.jpmariofixx.site,HIGH,100.0,1,1,TP
bintang108year.com,HIGH,100.0,1,1,TP
sarana77.org,HIGH,100.0,1,1,TP
s4jexj6cyc.rudaltotoking.com,HIGH,100.0,1,1,TP
nekobet99.shop,HIGH,100.0,1,1,TP
0inuf4h5n5.kaskuskita.com,HIGH,50.56,1,1,TP
ku007.key365a.live,HIGH,100.0,1,1,TP
bangkok-ampdev.pages.dev,HIGH,82.27,1,1,TP
gudang4dplay.motorcycles,HIGH,98.82,1,1,TP
lisatoto-bd.com,MEDIUM,40.0,1,1,TP
hyju9dzuva.cariepictoto.pro,HIGH,100.0,1,1,TP
sloki88bmw.com,HIGH,100.0,1,1,TP
megaslot97.work,HIGH,100.0,1,1,TP
l9d1tt6vdu.vwvip2.pro,HIGH,100.0,1,1,TP
leon188bersulang.co,HIGH,100.0,1,1,TP
indo4d-k.com,HIGH,88.39,1,1,TP
bursa188re.com,HIGH,100.0,1,1,TP
paulang.com,HIGH,62.5,1,1,TP
beldlanka.com,HIGH,87.5,1,1,TP
pilarplay49.shop,HIGH,54.47,1,1,TP
rtp3.notif4darena.org,HIGH,100.0,1,1,TP
01pacificwildseafood.pages.dev,LOW,10.67,0,1,FN
lido88next.com,HIGH,100.0,1,1,TP
indo62bangga.com,HIGH,100.0,1,1,TP
abc-cgi.com,LOW,5.0,0,1,FN
kangtotowis.org,LOW,2.5,0,1,FN
151.101.131.52,LOW,0.0,0,1,FN
hidupgagak.store,HIGH,92.5,1,1,TP
rice838-d.cfd,HIGH,100.0,1,1,TP
pialadunia.dev,LOW,25.0,0,1,FN
ads11raja01.shop,HIGH,100.0,1,1,TP
a1.winterfresh.ink,HIGH,100.0,1,1,TP
app-liv.jp,LOW,7.85,0,1,FN
u1q3qrlp5ye1n04431bq.bungaslot.dev,HIGH,87.5,1,1,TP
rusia3.xyz,HIGH,100.0,1,1,TP
macautw.xyz,MEDIUM,50.0,1,1,TP
unovgsreals.space,HIGH,100.0,1,1,TP
142peritt.com,HIGH,100.0,1,1,TP
pgking11.vip,HIGH,100.0,1,1,TP
glendona.com,HIGH,100.0,1,1,TP
restupokerhot.com,HIGH,96.3,1,1,TP
tigoals.github.io,LOW,22.5,0,1,FN
shop.mondena.com,LOW,0.0,0,1,FN
liontoto1.store,LOW,0.0,0,1,FN
jumbototo982.com,MEDIUM,45.0,1,1,TP
abangda88.us.com,HIGH,100.0,1,1,TP
lihat14.meriahkali.one,MEDIUM,30.52,1,1,TP
pro8etiojk.lat,HIGH,100.0,1,1,TP
ayam4dhoki168.com,HIGH,57.25,1,1,TP
riangterang.xyz,HIGH,87.5,1,1,TP
rtppilarplay24.shop,HIGH,100.0,1,1,TP
zjqoolipaf.bosbro.website,HIGH,100.0,1,1,TP
techno.dolly4dofficial.com,HIGH,100.0,1,1,TP
live-hockey.ru,LOW,7.5,0,1,FN
hyjkumrqv7.slotbesarvip2.pro,HIGH,100.0,1,1,TP
gg2.rtpapidewa.lol,HIGH,100.0,1,1,TP
kp06nygo7f.jaya4dxin.xyz,MEDIUM,48.27,1,1,TP
asiaslot777official.beauty,HIGH,100.0,1,1,TP
z66ntjdxbg4p4ku6u7so.ibox4docean.net,HIGH,100.0,1,1,TP
tancap4digit.bond,HIGH,100.0,1,1,TP
fuyuramenco.com,HIGH,74.4,1,1,TP
6i9.notaups4d.site,HIGH,82.5,1,1,TP
12hoki.forum,HIGH,100.0,1,1,TP
tb88duit.top,HIGH,100.0,1,1,TP
alt2.alamat.vip,HIGH,100.0,1,1,TP
kokoplayv5.pages.dev,MEDIUM,27.5,1,1,TP
18ex0qrsck.prada55c.one,HIGH,100.0,1,1,TP
vv0802.kantorbolajaya.org,HIGH,100.0,1,1,TP
kpk100stars.site,HIGH,61.43,1,1,TP
ituu.bt-pro.click,HIGH,100.0,1,1,TP
zfn3vsbbua.asgacor.pro,HIGH,100.0,1,1,TP
hel4oilwyp.top1toto199.com,LOW,12.5,0,1,FN
laskar89-site.bond,MEDIUM,50.0,1,1,TP
idxstartime.top,LOW,0.0,0,1,FN
clinic-gallery.pages.dev,MEDIUM,45.0,1,1,TP
4lr86165sbskyxgqbh1y.bungaslot.dev,HIGH,87.5,1,1,TP
kemenangan-dewi11.pages.dev,HIGH,53.42,1,1,TP
arizona88.suhujepe12.site,HIGH,85.74,1,1,TP
abcd.kkp69.info,HIGH,100.0,1,1,TP
vikingbet-88.store,HIGH,100.0,1,1,TP
kenangan4dtinggi.com,HIGH,100.0,1,1,TP
6fwekg4fbsqkfb81qx89.bungaslot.dev,HIGH,87.5,1,1,TP
moi4dindah.com,HIGH,100.0,1,1,TP
agung711uang.com,MEDIUM,48.08,1,1,TP
111333.bet,LOW,5.0,0,1,FN
0r4ncbr2g0poeh3yvwn7.bungaslot.dev,HIGH,87.5,1,1,TP
sedanghokipilihan.lol,HIGH,82.5,1,1,TP
kpkgg18.com,MEDIUM,30.0,1,1,TP
link1.rtpking555.ink,HIGH,100.0,1,1,TP
gacormen-ar.com,HIGH,100.0,1,1,TP
u0.morfintotopride.online,LOW,0.0,0,1,FN
jam889.net,HIGH,95.0,1,1,TP
ms003.braga89.store,HIGH,100.0,1,1,TP
hijauwinart.store,HIGH,100.0,1,1,TP
websni.info,HIGH,52.16,1,1,TP
ufc4d.cc,HIGH,52.51,1,1,TP
mantap99.ms-pacmantoto.space,HIGH,95.0,1,1,TP
sj88open.sbs,HIGH,100.0,1,1,TP
okejp8.rtp2025jp.com,HIGH,100.0,1,1,TP
eskino4d.net,HIGH,100.0,1,1,TP
mom4dbisa.com,MEDIUM,42.92,1,1,TP
tousi-life.jp,LOW,12.92,0,1,FN
akseswakai.site,HIGH,100.0,1,1,TP
game006.ketua911c.store,HIGH,100.0,1,1,TP
mlb789hoki.site,HIGH,54.38,1,1,TP
wa.agenkopi.cyou,HIGH,100.0,1,1,TP
ola62az.store,HIGH,100.0,1,1,TP
amelpenting.com,HIGH,95.0,1,1,TP
lega4d18.shop,HIGH,87.5,1,1,TP
idrbet77.com,HIGH,100.0,1,1,TP
bape777nice.com,HIGH,100.0,1,1,TP
rtpomega-gan89.com,HIGH,100.0,1,1,TP
11uni4d.com,HIGH,100.0,1,1,TP
